"url"	"title"	"company_name"	"company_score"	"description"	"time_posted"	"metadata"	"date_scraped"	"city"	"page"
"https://www.indeed.com/viewjob?jk=dfdc7580d00f9701"	"Data Scientist"	"Talking Rain Beverage Company"	"17 reviews"	"Who We Are Are you a curious, collaborative, self-led, resourceful, drive-not-ride type? Join us. When it comes to success, we know we’re only as strong as our team, so we empower our Rain Makers to forge the way—finding opportunity at the intersection of what they love, what we need, and where they thrive. We’re Talking Rain, the maker of Sparkling Ice, and we’re so much more than water. We build flavorful brands that deliver sustainable growth and create a connected community that people embrace, trust and enjoy! Click to learn about us and our careers. You can also follow us on LinkedIn, Instagram, Twitter and Facebook. What You’ll Do Data is more than stats to our Business Development and Strategic Planning team—it’s a story waiting to be told. They translate the details into actionable information and strategy, helping us drive forward. You’ll form partnerships across our business to help define and drive our strategy. Major areas of focus will be around reducing cost and complexity within our operations, as well as effectiveness of our promotional and marketing activities. Bring your expertise to drive improvements to forecasting (Sales, Production, Raw Material Planning). Refine inventory stratification methodology to minimize carrying costs and out of stocks. Support sales and marketing on pricing and promotion efficiency evaluations. Collaborate with our Marketing team on program effectiveness evaluations. Quantify the value of existing product improvements or the potential value of new product hypotheses. Ensure we’re ahead of the curve, staying abreast of the ever-shifting retail landscape and how we can best leverage syndicated data. Assist in the budgeting, forecasting and demand planning processes. Develop custom data models and algorithms to generate predictive insights. Ensure food safety, quality, and SQF practices are followed at all times, notifying immediate manager of any food safety and/or quality issues. Complete other responsibilities as assigned. Reports to: Pricing and Analytics Manager Direct Reports: N/A What You Bring Your results driven mindset enables you to interpret complex data, developing and communicating exceptional strategic solutions. You frequently leverage your EQ, or emotional intelligence, actively listening and adapting your style to the audience. Your commitment to excellence is second to none, with an exceptionally high attention to detail. You earn people’s trust with your ability to maintain confidentiality, particularly when handling sensitive information and situations. You always take the initiative, which means you’re stellar at prioritization, time-management, and troubleshooting. You’re flexible, which means you can pivot on a dime when the situation changes. Your Background Master’s degree in Computer Science, Statistics, Mathematics, Economics or related field preferred; Bachelor’s degree accepted. Experience in the consumer-packaged goods (CPG) industry, with an emphasis on predictive analytics, data mining, statistics, machine learning, algorithms, etc. Microsoft Excel power user. Complete proficiency with SQL, with at least one additional language for data analysis (e.g. R, Python)."	"12 days ago"	"character(0)"	2018-10-15	"Seattle%2C+WA"	40
"https://www.indeed.com/viewjob?jk=1d979685917c68a3"	"Data Scientist, Engineering"	"Google"	"2,617 reviews"	"Note: By applying to this position your application is automatically submitted to the following locations: Mountain View, CA, USA; New York, NY, USA; San Bruno, CA, USA; Seattle, WA, USA; San Francisco, CA, USA As a Data Scientist, you will evaluate and improve Google's products. You will collaborate with a multi-disciplinary team of engineers and analysts on a wide range of problems. This position will bring analytical rigor and statistical methods to the challenges of measuring quality, improving consumer products, and understanding the behavior of end-users, advertisers, and publishers. Google is and always will be an engineering company. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on millions, if not billions, of users. At Google, data scientists not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, Social to Local, Google engineers are changing the world one technological achievement after another. Responsibilities Work with large, complex data sets. Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed. Conduct end-to-end analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations. Build and prototype analysis pipelines iteratively to provide insights at scale. Develop comprehensive understanding of Google data structures and metrics, advocating for changes where needed for both products development and sales activity. Interact cross-functionally with a wide variety of people and teams. Work closely with engineers to identify opportunities for, design, and assess improvements to google products. Make business recommendations (e.g. cost-benefit, forecasting, experiment analysis) with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information. Research and develop analysis, forecasting, and optimization methods to improve the quality of Google's user facing products; example application areas include ads quality, search quality, end-user behavioral modeling, and live experiments. Qualifications Minimum qualifications:MS degree in a quantitative discipline (e.g., statistics, operations research, bioinformatics, economics, computational biology, computer science, mathematics, physics, electrical engineering, industrial engineering). 2 years of relevant work experience in data analysis or related field. (e.g., as a statistician / data scientist / computational biologist / bioinformatician). Experience with statistical software (e.g., R, Python, Julia, MATLAB, pandas) and database languages (e.g., SQL). Preferred qualifications:PhD degree in a quantitative discipline as listed in Minimum Qualifications. 4 years of relevant work experience (e.g., as a statistician / computational biologist / bioinformatician / data scientist), including deep expertise and experience with statistical data analysis such as linear models, multivariate analysis, stochastic models, sampling methods. Analytical engagements outside class work while at school can be included. Applied experience with machine learning on large datasets. Experience articulating business questions and using mathematical techniques to arrive at an answer using available data. Experience translating analysis results into business recommendations. Demonstrated skills in selecting the right statistical tools given a data analysis problem. Demonstrated effective written and verbal communication skills. Demonstrated leadership and self-direction. Demonstrated willingness to both teach others and learn new techniques. At Google, we don’t just accept difference - we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you have a disability or special need that requires accommodation, please let us know. To all recruitment agencies: Google does not accept agency resumes. Please do not forward resumes to our jobs alias, Google employees or any other company location. Google is not responsible for any fees related to unsolicited resumes."	NA	"character(0)"	2018-10-15	"Seattle%2C+WA"	40
"https://www.indeed.com/viewjob?jk=a1cb14494b296749"	"Data Scientist, Private Label Apparel"	"Amazon.com"	"27,831 reviews"	"Job Description The Amazon Fashion Team is developing Private Label offerings with the purpose of surprising and delighting our customers. Are you passionate about big data and analytics? Are you interested in guiding critical business decisions around Amazon's latest start-up? If so, the Private Label Apparel team is looking for a Business Intelligence Analyst/Engineer to help define the success of our business, build the data infrastructure from the ground up, and scale for rapid growth. In this role, you will be working with one of the world's largest data environments and will operate across multiple disciplines including and not limited to business, technology, database planning, statistics, data mining, and social science. Example responsibilities include: Responsibilities:Own the design, development, and maintenance of metrics, reports, analyses, dashboards, etc. to drive key business decisions. Interacting with internal stakeholders to share findings from deep dive analyses Enabling effective decision making by retrieving and aggregating data from multiple sources and compiling it into a digestible and actionable format Identifying process and system improvement opportunities by monitoring existing metrics, analyzing data, and partnering with internal teams Develop quantitative models, forecasts, and simulations to evaluate various trade-offs associated with a physical fulfillment operations. Apply data mining, quantitative analysis, and statistics to understand how our customers interact with our business. Analyze big data (Search Experience, Detail Page, Order History, Clickstream analytics) to figure out user behavior problems, and output reports with clear recommendations. Report on customer, product, marketing and sales insights and trends to senior leadership and the team at large. Develop queries and reports for business teams and ongoing projects. This team is a great fit for you if:You like to work on projects that have a direct impact to millions of customers across the globe You truly care about the business results of the recommendations and models you develop You like to partner closely with business stakeholders You want to be part of a team disrupting the retail industry You adapt to change well and operate well in ambiguityBasic Qualifications Advanced degree (M.S. or Ph.D.) in Engineering, Math, Statistics, Finance, Computer Science, or comparable industry experience. 4+ years of relevant work experience in data science, business analytics, business intelligence (BI), or comparable experience in other big data environments. Strong proficiency at querying and architecting relational databases - e.g. Oracle SQL Developer, ETL, Redshift, Vertica, MS SQL, etc Experience with statistical tools (e.g. R) and analysis, regression modeling and forecasting, time series analysis. Experience using one or more programming languages (e.g. Python, Java, C++, C#, Ruby) Experience with big data: processing, filtering, and presenting large quantities (100K to Millions of rows) of data. Strong verbal/written communication & data presentation skills, including an ability to effectively communicate with both business and technical teams. Genuine curiosity, proven problem solving ability, and passion for data.Preferred Qualifications 5+ years of hands-on experience in predictive modeling and analysis in big data environments. Experience in advanced machine-learning methodologies (e.g. supervised and unsupervised learning, deep learning etc.) Experience with clustered data processing (e.g. Hadoop, Spark, Map-reduce, Hive) Experience building/operating highly available, distributed systems of data extraction, ingestion, and processing of large data sets Experience leading large-scale data warehousing and analytics projects, including using AWS technologies – Redshift, S3, EC2, Data-pipeline and other big data technologies"	"11 days ago"	"character(0)"	2018-10-15	"Seattle%2C+WA"	40
"https://www.indeed.com/viewjob?jk=ba6fc6da46861850"	"c(\"Siri - Data Scientist (Machine Learning & Natural Language)\", \"\nKey Qualifications\", \"\nDescription\", \"\nEducation\")"	"Apple"	"6,252 reviews"	"Play a part in the ongoing revolution in human-computer interaction. Give to a product that is redefining mobile computing. Build groundbreaking technology for large scale systems, spoken language, big data, natural language processing, and artificial intelligence. And work with the people who built the intelligent assistant that helps millions of people get things done — just by asking. Join the Siri team at Apple. Key Qualifications Expertise in natural language processing and machine learning, such as classification, feature engineering, information extraction, structured prediction, clustering, semi-supervised learning, topic modeling, and ranking. Proficiency in data science and analytics, including statistical analyses and A/B testing Experience designing, conducting, analyzing, and interpreting experiments and investigations. Strong programming skills, expert knowledge of algorithms and data structures (Python, Java, or equivalent) Excellent problem solving, critical thinking, creativity, organizational, design, and interpersonal skills; ability to work well with all levels of engineers. Confirmed ability to handle multiple projects with strict deadlines Prior experience with applying Big Data tools (MapReduce, Hadoop, Hive and/or Pig, Spark) to large quantities of textual data is desired Description The goal of the Siri Machine Learning & Natural Language team is to take Siri to the next level of intelligence and accuracy using advanced statistical techniques. The Data Scientist role in this team has a spectrum of approaches to improving Siri. At one end, we work on deriving key insights from large amounts of usage data to suggest new features and fundamental improvements to the user experience. At the other end, you would work on core machine learning algorithms and systems that are part of Siri’s ability to understand and respond to requests. You should be passionate about building outstanding products. This position involves a wide variety of skills and innovation. This is an unusual opportunity that sits at the cutting-edge of various disciplines such as data science and machine learning, and your work will have a huge impact on hundreds of millions of users across the globe. Education Master's or PhD in Computer Science or a data-driven physical science, or equivalent"	"5 days ago"	"character(0)"	2018-10-15	"Seattle%2C+WA"	40
"https://www.indeed.com/viewjob?jk=1727f5b32bf0314d"	"Data & Applied Scientist"	"Microsoft"	"5,068 reviews"	"Online Advertising is one of the fastest growing businesses on the Internet today - serving billions of ad impressions per day and generating terabytes of user events data every day. The rapid growth of online advertising has created enormous opportunities as well as technical challenges that demand computational intelligence. Responsibilities We are looking for a Senior Applied Scientist with deep R&D background to conduct research and development on audience intent modeling, which includes profile inference and user segmentation models. You will have the opportunity to work with large scale data and signals we collect from user queries and online activities. The role would make algorithmic and modeling improvement to the system, analyze performance and identify opportunities based on offline and online testing, develop and deliver robust and scalable solutions, make direct impact to both user and advertisers experience, and continually increase the revenue for Bing ads and Microsoft Audience Network (MSAN). We are actively working on Linear, XGB, SDNN and other models. Qualifications A graduate degree in computer science or a quantitative domain. At least 1 year experience in R&D one of the following fields: Machine Learning, Information Retrieval, Natural Language Processing, Data Mining and Analytics. Experience in Deep Learning is a plus. Excellent problem solving and data analysis skills. Passionate, self-motivated. Effective communication skills, both verbal and written. At least 2 years of software design and development experience in real world applications Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form. Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."	"18 days ago"	"character(0)"	2018-10-15	"Seattle%2C+WA"	40
"https://www.indeed.com/viewjob?jk=eae70c2f26452c8a"	"Junior Data Scientist"	"Porch"	"36 reviews"	"At Porch, we are reinventing the way homeowners connect with professionals to get work done on their home. Are you passionate about building data-driven products? Do you enjoy combining statistical methods and machine learning to solve challenging puzzles? If so, join our team. We understand that the first step to a successful home project and a happy homeowner starts with finding the right pro. Our Data Science team is at the center of the matching process, and, as a contributing member of that team, you will focus on evaluating the performance of our real-time predictive models to ensure that homeowners connect with the most qualified contractors. As a junior data scientist, you will collaborate with a talented team of data scientists on a broad array of technically challenging problems. You will play an integral role in providing optics into how our real-time prediction capabilities drive value into our marketplace, as well as performing market segmentation to deliver the right message to the right consumer as you build up machine learning skills. If you are highly analytical, enjoy a collaborative work environment that encourages mentorship and learning, and have a strong intellectual curiosity to solve customer problems, the Data Science team at Porch just might be the place for you. The right candidate will possess strong communication skills, an ability to work well independently and collaboratively, and a knack for solving ambiguous problems. You should have experience with statistics, data mining, and machine learning techniques and an interest in building real-time predictive models at scale. Responsibilities: Provide optics and support for the Data Science team to evaluate performance of models Develop algorithms to automate dynamic model retraining to keep us operating at peak performance Perform structural time series analyses and A/B tests to evaluate the impact of product and model adjustments Collaborate with Data Scientists to expand upon a broad array of data science models; GBT, propensity scoring, NLP text classification, regression, Bayesian inference, etc. Optimize matching systems that connect homeowners and professionals Communicate technical results to a broad audience Basic Qualifications A desire to work in a collaborative, intellectually curious environment. Master's degree or Ph.D. in statistics, econometrics, physics, mathematics, or similarly quantitative field 2+ years of hands-on experience in data analysis and/or predictive modeling Strong grasp of machine learning, data mining and data analytics techniques Proficiency working with relational databases and SQL Experience working in R and/or Python (or similar scripting language) Strong communication skills About Porch Porch sprang to life to take on an age-old, recurring problem; with a vision to connect homeowners with the highest quality home improvement professionals, and realize the potential of every home. Porch delivers high quality project requests to professionals which make up the $300 billion home improvement market. Porch’s mission is to ensure every home project gets done right, and every customer has a great experience. We aim to build a lasting brand that delivers a simple solution with delightful results. Porch was founded by a successful duo of entrepreneurs and is fueled by our experienced leaders and their team of techies who build beautiful products, have passionate customer focus, and put team before self. Based in Seattle, Porch is backed by Valor Equity Partners, Lowe’s Home Improvement, and more."	"30 days ago"	"character(0)"	2018-10-15	"Seattle%2C+WA"	40
"https://www.indeed.com/viewjob?jk=de94d87248be5284"	"Office Administrator"	"BOEING"	"5,795 reviews"	"$32,000 - $47,000 a year (Indeed Est.) Everett,Washington,United States UAMLNC The Boeing Company is looking for an Office Administrator in Everett, WA. The Office Administrator will be supporting the management team Position Responsibilities: Coordinates and processes domestic and international business travel arrangements, monitors designated business traveler's logistics, generates expense reports and assists in reconciling corporate credit card charges to ensure timely and accurate reimbursement and verifies payments to corporate credit cards. Collects and compiles data to provide visibility of status for traveler's review and/or signature. Creates, edits and maintains electronic and written communication. Tracks and maintains information relative to department and business operations. Verbally communicates a wide variety of information to multiple audiences. Processes incoming and outgoing communication and correspondence to ensure proper dissemination of information. Prioritizes and schedules management-level employee time and availability for efficient use of time. Tracks and maintains designated conference room schedules for availability and efficient use of resources. Coordinates with the appropriate focal(s) to support the acquisition and maintenance of resources. Orders and maintains office supplies. Plans and implements logistics for executive level internal and external events. Provides guidance for less experienced employees. Works under limited supervision. Boeing is the world's largest aerospace company and leading manufacturer of commercial airplanes and defense, space and security systems. We are business professionals, engineers and technicians. Skilled business leaders, scientists and thinkers. Bold innovators and dreamers. Join us, and you can build something better for yourself, for our customers and for the world. Employer will not sponsor applicants for employment visa status.Basic Qualifications (Required Skills/Experience):High School Diploma or higher Experience with Microsoft Office (Excel, Word, PowerPoint, Outlook) Experience in coordinating and processing domestic and international travel arrangements, generating expense reports and reconciling corporate credit card charge Preferred Qualifications (Desired Skills/Experience):Experience in multi-tasking and working in a team environment Experience in managing executive schedules and calendars Typical Education/Experience:High school diploma or GED and typically 4 or more years' related experience or an equivalent combination of education and experience.This position is located in Bellevue, WA and does not offer relocation assistance. Applicants must reside in area or be willing to relocate at their own expense. No BCA Engineering Individual Contributor No No Standard United States; The Boeing Company"	"4 days ago"	"$32,000 - $47,000 a year (Indeed Est.) "	2018-10-15	"Seattle%2C+WA"	40
"https://www.indeed.com/viewjob?jk=55f0896518d9cde3"	"Data Scientist ( Agent Analytics)"	"Zillow Group"	"77 reviews"	"About the team Zillow Group is currently seeking a Data Scientist to join the Decision Science team in our Seattle office. Our team is tasked with absorbing billions of rows of data from dozens of sources, organizing them, analyzing them, and visualizing them to help inform both short- and long-term decision-making. About the team: Our structure is very flat and you will soon find yourself communicating directly with Senior Leadership. Each team member focuses on a cross-section of the Zillow Group community. Below are some of the areas in which our Data Scientists focus their energy.Business. Build data-driven insights to fuel the future. Find opportunities for innovation and assess performance of current initiatives.Sales. Analyze the intersection of human behavior, incentive structures, and sales process to build a more efficient sales force.Tools.Create data-focused information products from billions of data points we collect every single day for internal and external clients. About the role Once you're here, you'll work to make important, strategic decisions that influence the direction of the company. More specifically: Dive into Zillow's internal and third party data (think Hive, Presto, SQL Server, Redshift, Python, Mode Analytics, Tableau, R) to make strategic recommendations (e.g., personalized user flows, segmented marketing audiences, more accurate pricing forecasts). Assist in the scoping and development of new product features and business initiatives. Compile and analyze data describing the performance of those initiatives (e.g., AB tests, pilots, incrementality tests). Develop a common language and approach to analyzing and communicating information and insights across teams. Create, maintain, and document a robust set of metrics to monitor day-to-day bug detection and long-term performance tracking. Tell stories that describe analytical results and insights in meetings of all sizes with diverse audiences. Consult with business partners and provide analytics-oriented thought leadership across a variety of non-technical audiences to ensure that all levels of Zillow Group make data-driven decisions.Who you are You will not shy away from complexity or uncertainty. You will develop a deep understanding of our mission, business models, and personas. We want you to use that intuition you've developed (both in business and real life) to find opportunities for growth and cultivate insights from our massive data sets. We're looking for a seasoned data scientist who has: An undergraduate or Master's degree in a quantitative field (e.g. science, engineering, economics, finance, statistics, or similar) or demonstrable experience within data science and analytics. 2+ years of work experience involving quantitative data analysis and complex problem solving (preferably focused on consumer-facing internet products). Foundational analytical skills (demonstrated understanding of SQL, command of Excel, and experience using R and/or Python) and is a Tableau pro. Experience directly querying multi-terabyte-sized data sets (e.g. with Hive and Presto) including clickstream data and raw data ingested from non-standard platforms (e.g., homegrown systems). An understanding of concepts, terminology, and measurement issues related to web traffic. Strong written, verbal, and visual communication skills to concisely communicate in a way that provides context, offers insights, and minimizes misinterpretation. The skills to work cross-functionally and push business partners to focus on realistic goals and projects.Get to know us Zillow Group houses a portfolio of the largest and most vibrant real estate and home-related brands on the web and mobile. Our mission is to build the largest, most trusted and vibrant home-related marketplace in the world.Zillow Group is owned, fueled and grown by innovators who help people make better, smarter decisions around all things home. We encourage one another at every level, and our efforts are supported by employee-driven, world-class benefits that enable us to enjoy our lives outside the office while building fulfilling careers that impact millions of individuals every day. Zillow Group is an equal opportunity employer committed to fostering an inclusive, innovative environment with the best employees. Therefore, we provide employment opportunities without regard to age, race, color, ancestry, national origin, religion, disability, sex, gender identity or expression, sexual orientation, or any other protected status in accordance with applicable law. If there are preparations we can make to help ensure you have a comfortable and positive interview experience, please let us know."	NA	"character(0)"	2018-10-15	"Seattle%2C+WA"	40
"https://www.indeed.com/viewjob?jk=3317fd994538fe0f"	"Clinical Informaticist, Data Scientist II"	"emids Technologies"	"56 reviews"	"Leads data collection activities for specified clinical and/or Healthcare administrative areas (Clinical / Ancillary / Admin). Coordinate site activities with system, Unit, integration and acceptance testing. Analysis of functional requirements collection and modification, and gap analysis of functional interfaces. Act as POC for site specific training activities to and work with Training leads in HQ. Assist Clinical Transformation Specialists with any activities as necessary. Minimum qualifications: Master’s degree in healthcare or related scientific, technical, or clinical discipline. At least 4 years of professional experience. A minimum of 5-years of experience with clinical informatics, 3 of the 5 within the Cerner space. Clinical background preferred (Nursing, allied health, medical technology, etc). Veterans Affairs experience preferred. Travel: 50-100% travel within the PNW, with occasional travel to DC and Kansas City."	"10 days ago"	"character(0)"	2018-10-15	"Seattle%2C+WA"	40
"https://www.indeed.com/viewjob?jk=2c5e0ff97e4d5f06"	"Data Scientist, Analytics - Ads Personalization and Automation"	"Facebook"	"383 reviews"	"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities — we're just getting started. The Personalization and Automation team is working towards this mission by helping businesses on Facebook find better ways of reaching their audiences. There are millions of advertisers on Facebook and thousands of options to configure their ads to reach the right people at the right time. All these options make our systems powerful and flexible, but also intimidating and can make answering the question “what's the BEST way to delivery my ads?” surprisingly difficult to answer. This is the problem that we are trying to solve. We are building tools that give our interfaces a personal touch to help guide advertisers to the most effective and efficient ways to serve their ads while adding tools to helping them automate their business on Facebook to give them peace of mind that their advertising dollars are always being spent within their specific parameters for success. A successful Data Scientist will be ready to help push the product team forward by identifying high impact areas for automation, advise on and help implement best in class solutions, while also helping contribute to the vision for the team. RESPONSIBILITIESUse existing insights, and develop an understanding agenda to unearth new ones, to drive the product strategyOwn all communications of insights to management in support of strategic decision-makingPartner with cross-functional teams to identify new opportunities requiring the use of modern analytical and modeling techniquesPlan, and be able to conduct as needed, end-to-end analyses, from data requirement gathering, to data processing and modelingOwn ongoing deliverables and communicationsWork with data engineers to architect data and modeling pipelines MINIMUM QUALIFICATIONSMS degree in a quantitative discipline (e.g., statistics, operations research, econometrics), or BS in a quantitative discipline plus MBA with a quantitative concentration (operations management, supply chain, information technology, finance), or equivalent practical experience10+ years experience doing quantitative analysis or statistical modelingTrack-record driving product strategy through data analysis and product positioningExperience extracting and manipulating large datasetsWorking knowledge of at least one modeling framework (e.g., SciKit Learn, TensorFlow, SAS, R, MATLAB)Experience in a scripting language (PHP, Python, Perl, etc.)Communication experience PREFERRED QUALIFICATIONS5+ years experience leading cross-functional teams2+ years experience in software engineeringExperience with distributed computing (Hive/Hadoop)"	"3 days ago"	"character(0)"	2018-10-15	"Seattle%2C+WA"	40
